	code	name	start	end	logic
0	SVU2	new_low	0	15.872	0
1	SVU2	observe		15.872	2
2	SVU2	sl_start	15.872	19.856119945682483	4
3	SVU2	start	19.856119945682483	19.857424242424244	4
4	SVU2	observe	19.857424242424244	19.86584091671584	4
5	SVU2	sl_tp	19.86584091671584	19.89227272727273	8
6	SVU2	tp_start	19.89227272727273	19.914200753763293	8
7	SVU2	start	19.914200753763293	19.932929292929295	8
8	SVU2	observe	19.932929292929295	19.982002532877456	8
9	SVU2	sl_tp	19.982002532877456	20.002626262626265	8
10	SVU2	tp_start	20.002626262626265	20.03036236992491	8
11	SVU2	start	20.03036236992491	20.031666666666666	8
12	SVU2	observe	20.031666666666666	20.04008334095826	8
13	SVU2	sl_tp	20.04008334095826	20.06651515151515	8
14	SVU2	tp_start	20.06651515151515	20.088443178005715	8
15	SVU2	start	20.088443178005715	20.110656565656566	8
16	SVU2	observe	20.110656565656566	20.167861118736038	8
17	SVU2	sl_tp	20.167861118736038	20.18732323232323	8
18	SVU2	tp_start	20.18732323232323	20.21622095578349	8
19	SVU2	start	20.21622095578349	20.24888888888889	8
20	SVU2	observe	20.24888888888889	20.33020202020202	8
21	SVU2	sl_tp	20.33020202020202	20.346464646464646	8
22	SVU2	tp_start	20.346464646464646	20.378847218409756	8
23	SVU2	start	20.378847218409756	20.421969696969697	8
24	SVU2	observe	20.421969696969697	20.520707070707072	8
25	SVU2	sl_tp	20.520707070707072	20.540454545454544	8
26	SVU2	tp_start	20.540454545454544	20.576321965884503	8
27	SVU2	start	20.576321965884503	20.57762626262626	8
28	SVU2	observe	20.57762626262626	20.586042936917856	8
29	SVU2	sl_tp	20.586042936917856	20.612474747474746	8
30	SVU2	tp_start	20.612474747474746	20.63440277396531	8
31	SVU2	start	20.63440277396531	20.642676767676765	8
32	SVU2	observe	20.642676767676765	20.667356068230987	8
33	SVU2	sl_tp	20.667356068230987	20.691464646464645	8
34	SVU2	tp_start	20.691464646464645	20.71571590527844	8
35	SVU2	start	20.71571590527844	20.720505050505047	8
36	SVU2	observe	20.720505050505047	20.737053037927957	8
37	SVU2	sl_tp	20.737053037927957	20.76232323232323	7
38	SVU2	tp_start	20.76232323232323	20.78541287497541	7
39	SVU2	start	20.78541287497541	20.821565656565653	7
40	SVU2	observe	20.821565656565653	20.99	7
41	SVU2	observe	20.926111111111112	20.99	5
42	SVU2	new_high	20.99	999999.0	9
0	EDU2	new_low	0	0.79944	0
1	EDU2	observe		0.79944	2
2	EDU2	sl_start	0.79944	0.9994853530606783	3
3	EDU2	start	0.9994853530606783	1.0001121212121211	3
4	EDU2	observe	1.0001121212121211	1.0020424251917746	3
5	EDU2	observe	1.0017363636363636	1.0020424251917746	6
6	EDU2	sl_start	1.0020424251917746	1.0025984843738096	4
7	EDU2	start	1.0025984843738096	1.0026567676767677	4
8	EDU2	observe	1.0026567676767677	1.0028545464038958	4
9	EDU2	sl_tp	1.0028545464038958	1.0031440404040404	7
10	EDU2	tp_start	1.0031440404040404	1.0034106055859309	7
11	EDU2	start	1.0034106055859309	1.0034282828282828	7
12	EDU2	observe	1.0034282828282828	1.0043434352927847	7
13	EDU2	observe	1.0038343434343433	1.0043434352927847	5
14	EDU2	observe	1.0043080808080809	1.0043434352927847	2
15	EDU2	sl_start	1.0043434352927847	1.0048994944748197	4
16	EDU2	start	1.0048994944748197	1.0060947474747475	4
17	EDU2	observe	1.0060947474747475	1.0083957575757576	4
18	EDU2	sl_tp	1.0083957575757576	1.0088559595959596	8
19	EDU2	tp_start	1.0088559595959596	1.00950151467684	8
20	EDU2	start	1.00950151467684	1.0099252525252524	8
21	EDU2	observe	1.0099252525252524	1.010940404040404	8
22	EDU2	sl_tp	1.010940404040404	1.0111434343434342	7
23	EDU2	tp_start	1.0111434343434342	1.0115318177071428	7
24	EDU2	start	1.0115318177071428	1.011752525252525	7
25	EDU2	observe	1.011752525252525	1.0125646464646465	7
26	EDU2	tp_new_high	1.0125646464646465	1.0127	9
27	EDU2	new_high	1.0127	999999.0	9
0	POU2	new_low	0	2564.0	0
1	POU2	observe		2564.0	2
2	POU2	sl_start	2564.0	3215.730022694439	4
3	POU2	start	3215.730022694439	3243.012121212121	4
4	POU2	observe	3243.012121212121	3306.3656565656565	4
5	POU2	sl_tp	3306.3656565656565	3319.0363636363636	8
6	POU2	tp_start	3319.0363636363636	3342.4370934015096	8
7	POU2	start	3342.4370934015096	3393.476767676768	8
8	POU2	observe	3393.476767676768	3496.4262626262625	8
9	POU2	sl_tp	3496.4262626262625	3517.0161616161613	8
10	POU2	tp_start	3517.0161616161613	3548.3360833004995	8
11	POU2	start	3548.3360833004995	3573.242424242424	8
12	POU2	observe	3573.242424242424	3632.6363636363635	8
13	POU2	sl_tp	3632.6363636363635	3644.5151515151515	8
14	POU2	tp_start	3644.5151515151515	3667.1239620883784	8
15	POU2	start	3667.1239620883784	3711.0363636363636	8
16	POU2	observe	3711.0363636363636	3802.1070707070708	8
17	POU2	sl_tp	3802.1070707070708	3820.321212121212	7
18	POU2	tp_start	3820.321212121212	3849.2653762297923	7
19	POU2	start	3849.2653762297923	3883.674747474747	7
20	POU2	observe	3883.674747474747	3973.9535353535352	7
21	POU2	tp_new_high	3973.9535353535352	3989.0	9
22	POU2	new_high	3989.0	999999.0	9
0	GZU2	new_low	0	13895.2	0
1	GZU2	observe		13895.2	2
2	GZU2	sl_start	13895.2	17383.115760760942	4
3	GZU2	start	17383.115760760942	17403.1	4
4	GZU2	observe	17403.1	17454.43514514478	4
